reaction_id,cluster_id,cluster_size
37522270,1288,1
36718365,1289,1
36516810,1290,1
35104161,1291,1
35204953,1292,1
35204960,1293,1
35205029,1294,1
35909517,1295,1
35708279,1296,1
35204981,1297,1
35204970,1298,1
35707871,1299,1
35707868,1300,1
35708285,1301,1
36416487,1302,1
35707865,1303,1
35204985,1304,1
37622446,1305,1
35305425,1306,1
36718008,1307,1
35708344,1308,1
35205383,1309,1
36416485,1310,1
36717998,1311,1
35909626,1312,1
35909513,1313,1
37219820,1314,1
36718010,1315,1
35707864,1316,1
35204904,1317,1
35204924,1318,1
37622444,1319,1
35305414,1320,1
36416708,1321,1
35205246,1322,1
35204912,1323,1
35204966,1324,1
35205391,1325,1
36211222,1326,1
35506636,1327,1
35909614,1328,1
35205180,1329,1
36718482,1330,1
36718428,1331,1
43053793,1332,1
37320303,1333,1
37320312,1334,1
37320313,1335,1
37320187,1336,1
37320132,1337,1
37520652,1338,1
37320164,1339,1
35708363,1340,1
36312334,1341,1
36009740,1342,1
35708369,1343,1
35708160,1344,1
36313916,1345,1
37320161,1346,1
37320306,1347,1
36416528,1348,1
37019448,1349,1
37119529,1350,1
37622477,1351,1
37520663,1352,1
36919236,1353,1
42889641,1354,1
42890550,1355,1
36316189,1356,1
36211100,1357,1
36211078,1358,1
36211068,1359,1
36617948,1360,1
37522210,1361,1
36110520,1362,1
36516787,1363,1
36211542,1364,1
36110535,1365,1
37119714,1366,1
36110673,1367,1
37119769,1368,1
37520602,1369,1
37521332,1370,1
37521538,1371,1
37520888,1372,1
37520627,1373,1
37521654,1374,1
37521200,1375,1
37220063,1376,1
35909625,1377,1
36313573,1378,1
42889495,1379,1
45885974,1380,1
35104877,1381,1
36313436,1382,1
36009821,1383,1
35204928,1384,1
35104887,1385,1
35104883,1386,1
36313550,1387,1
36516804,1388,1
36516828,1389,1
36918911,1390,1
36314856,1391,1
36211544,1392,1
37521192,1393,1
42889622,1394,1
36211313,1395,1
36211103,1396,1
36316186,1397,1
36718256,1398,1
36919230,1399,1
36919036,1400,1
36718458,1401,1
42890512,1402,1
36919101,1403,1
35809323,1404,1
42889637,1405,1
42890557,1406,1
35708141,1407,1
35506786,1408,1
35606938,1409,1
35104123,1410,1
43053854,1411,1
37019303,1412,1
36009736,1413,1
35708271,1414,1
35808976,1415,1
36517119,1416,1
35607013,1417,1
35607446,1418,1
36516906,1419,1
36717992,1420,1
36517132,1421,1
36617316,1422,1
42889192,1423,1
36918918,1424,1
42888924,1425,1
37622469,1426,1
37019411,1427,1
37019237,1428,1
35707598,1429,1
36312856,1430,1
35104092,1431,1
35809114,1432,1
35205190,1433,1
35204959,1434,1
35204911,1435,1
35707930,1436,1
35708063,1437,1
36918962,1438,1
37622493,1439,1
36718364,1440,1
36718537,1441,1
36718542,1442,1
36718352,1443,1
36718292,1444,1
35809281,1445,1
35809296,1446,1
36211471,1447,1
36516944,1448,1
42889812,1449,1
36516893,1450,1
36617669,1451,1
42890535,1452,1
36919043,1453,1
36516901,1454,1
35708124,1455,1
35708308,1456,1
35708302,1457,1
36718011,1458,1
36718016,1459,1
35204978,1460,1
36009804,1461,1
37521618,1462,1
35809395,1463,1
36313403,1464,1
35506799,1465,1
35708583,1466,1
35104826,1467,1
36009755,1468,1
35809392,1469,1
35104701,1470,1
35104712,1471,1
35707552,1472,1
35909443,1473,1
35909456,1474,1
35909449,1475,1
42890655,1476,1
35809059,1477,1
36211555,1478,1
35606980,1479,1
35708663,1480,1
36918853,1481,1
35708066,1482,1
36315299,1483,1
36211065,1484,1
35809090,1485,1
37119784,1486,1
36313048,1487,1
35205107,1488,1
35205305,1489,1
36416529,1490,1
35205136,1491,1
42889636,1492,1
35306203,1493,1
35205351,1494,1
35707650,1495,1
36211104,1496,1
36919081,1497,1
36009835,1498,1
37521612,1499,1
43053904,1500,1
42889640,1501,1
36316181,1502,1
36717975,1503,1
35809125,1504,1
35305424,1505,1
37019267,1506,1
36718348,1507,1
35306160,1508,1
35305663,1509,1
36818726,1510,1
35104100,1511,1
37320203,1512,1
35104864,1513,1
36009888,1514,1
37019310,1515,1
36516763,1516,1
35104126,1517,1
35606957,1518,1
36110678,1519,1
35607078,1520,1
35205000,1521,1
35104694,1522,1
36919035,1523,1
36919041,1524,1
35104692,1525,1
35506637,1526,1
36818730,1527,1
36818734,1528,1
36818761,1529,1
35707835,1530,1
35809328,1531,1
35809012,1532,1
36718044,1533,1
36516819,1534,1
36517124,1535,1
36211080,1536,1
36211184,1537,1
36110040,1538,1
36211124,1539,1
36211121,1540,1
35708275,1541,1
37320302,1542,1
35708744,1543,1
37320293,1544,1
43053895,1545,1
36312648,1546,1
36110348,1547,1
36918990,1548,1
36718090,1549,1
37019314,1550,1
35708417,1551,1
36316344,1552,1
35708094,1553,1
37119540,1554,1
35708116,1555,1
36110568,1556,1
36314099,1557,1
43562866,1558,1
36211179,1559,1
35708554,1560,1
45885676,1561,1
36315573,1562,1
36919053,1563,1
35708174,1564,1
36110096,1565,1
42890199,1566,1
37019351,1567,1
36316342,1568,1
35708142,1569,1
35708723,1570,1
36312298,1571,1
35708359,1572,1
36516903,1573,1
35708605,1574,1
36316382,1575,1
36110874,1576,1
37019274,1577,1
36316417,1578,1
35708140,1579,1
